corte_denue,id,clee,nom_estab,raz_social,clave_norm,codigo_act,nombre_act,per_ocu,estrato_min,cod_postal,cve_ent,entidad,cve_mun,municipio,localidad,nomb_asent,nom_vial,numero_ext,dominio_correo,www,latitud,longitud,fecha_alta,sitios_nacionales,piso_aplicado,motivo_ingreso,es_punto_venta,excluido_por
2026-05,9394133,19026311222000027000000000U1,RAGASA INDUSTRIAS,RAGASA INDUSTRIAS,RAGASA INDUSTRIAS,311222,Elaboración de aceites y grasas vegetales comestibles,251 y más personas,251,67120,19,Nuevo León,026,Guadalupe,Guadalupe,LA CONDESA,VÍA DE FERROCARRIL,501,ragasa.com.mx,,25.69460553,-100.1585034,2026-04,,101,piso_estrato,no,
2026-05,9437272,19026722310000306110000000U5,ELABORACIÓN DE ALIMENTOS FRESCOS PARA CONSUMO INMEDIATO SIN NOMBRE,REYES REYNA,REYES REYNA,311993,Elaboración de alimentos frescos para consumo inmediato,101 a 250 personas,101,67110,19,Nuevo León,026,Guadalupe,Guadalupe,JARDINES DE SAN RAFAEL,18 DE MARZO,111,,,25.69586194,-100.22381626,2026-04,,101,piso_estrato,no,
2026-05,6860789,19006311612000045101000000U7,TRANSFORMACION CARNICA,TRANSFORMACION CARNICA,TRANSFORMACION CARNICA,311612,"Corte y empacado de carne de ganado, aves y otros animales comestibles",101 a 250 personas,101,67132,19,Nuevo León,026,Guadalupe,Guadalupe,REGIO PARQUE INDUSTRIAL,REGIO PARQUE,111,transformacioncarnica.com,WWW.TRANSFORMACIONCARNICA.COM,25.70295053,-100.13950669,2026-04,,101,piso_estrato,no,
2026-05,9101009,19031311110000036000008716M9,MNA DE MEXICO,MNA DE MEXICO,MNA DE MEXICO,311110,Elaboración de alimentos para animales,101 a 250 personas,101,67250,19,Nuevo León,031,Juárez,Ciudad Benito Juárez,LOS NARANJOS,APODACA - JUÁREZ KM 59+600,,mnademexico.com,WWW.MNADEMEXICO.COM,25.68108716,-100.11592131,2026-04,,101,piso_estrato,no,
2026-05,9238777,19031311613000015001000000U6,PROCESOS CARNICOS GAMO,PROCESOS CARNICOS GAMO,PROCESOS CARNICOS GAMO,311613,"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles",101 a 250 personas,101,67289,19,Nuevo León,031,Juárez,Valle de Juárez,VALLE DE JUAREZ,CAMINO A RANCHO VIEJO,211,,WWW.EMPACADORAGAMO.COM,25.63429467,-100.15957618,2020-04,,101,piso_estrato,no,
2026-05,6228278,19033311230000017000000000U1,GOLLEK INTERAMERICAS,GOLLEK INTERAMERICAS,GOLLEK INTERAMERICAS,311230,Elaboración de cereales para el desayuno,251 y más personas,251,67735,19,Nuevo León,033,Linares,Linares,PARQUE INDUSTRIAL SEGUNDO SECTOR,INDUSTRIA ALIMENTICIA,2000,kellanova.com,WWW.KELLOGGS.COM.MX,24.8835024,-99.57874946,2010-07,,101,piso_estrato,no,
2026-05,6365009,19033311422000027000009219M3,ORVAL KENT DE LINARES,ORVAL KENT DE LINARES,ORVAL KENT DE LINARES,311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación,251 y más personas,251,67700,19,Nuevo León,033,Linares,Linares,ALVARADO,CARLOS GARCÍA RODRÍGUEZ,204,ressers.com,,24.86441173,-99.56524546,2010-07,,101,piso_estrato,no,
2026-05,6366509,19033311340000031000008215S9,PRODUCTOS DE LECHE SAN PABLO,PRODUCTOS DE LECHE SAN PABLO,PRODUCTOS DE LECHE SAN PABLO,311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate",51 a 100 personas,51,67700,19,Nuevo León,033,Linares,Linares,CENTRO,VENUSTIANO CARRANZA,420,gloriasdelinares.com.mx,,24.86135155,-99.57060375,2010-07,,101,pendiente_rescate,no,
2026-05,6366512,19033311340000051001008215M7,PRODUCTOS DE LECHE SAN PABLO,PRODUCTOS DE LECHE SAN PABLO,PRODUCTOS DE LECHE SAN PABLO,311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate",51 a 100 personas,51,67700,19,Nuevo León,033,Linares,Linares,CENTRO,EMILIO CARRANZA,,gloriasdelinares.com.mx,,24.86188957,-99.57130932,2010-07,,101,pendiente_rescate,no,
2026-05,6369335,19033311412000017010000000U5,SIGMA ALIMENTOS CONGELADOS,SIGMA ALIMENTOS CONGELADOS,SIGMA ALIMENTOS CONGELADOS,311613,"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles",251 y más personas,251,67735,19,Nuevo León,033,Linares,Linares,PARQUE INDUSTRIAL 2DA ETAPA,INDUSTRIA ALIMENTICIA,,sigma-alimentos.com,WWW.SIGMA-ALIMENTOS.COM,24.88465419,-99.56939363,2010-07,,101,piso_estrato,no,
2026-05,6369078,19033311340000137000008533M4,VERNELL INDUSTRIES,VERNELL INDUSTRIES,VERNELL INDUSTRIES,311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate",251 y más personas,251,67700,19,Nuevo León,033,Linares,Linares,PARQUE INDUSTRIAL SEGUNDO SECTOR,INDUSTRIA ALIMENTICIA,2020,ferrarausa.com,,24.88362914,-99.57369105,2010-07,,101,piso_estrato,no,
2026-05,12333083,19034311611000035000000000U2,PILGRIMS,PILGRIMS,PILGRIMS,311611,"Matanza de ganado, aves y otros animales comestibles",31 a 50 personas,31,66700,19,Nuevo León,034,Marín,Marín,CENTRO,CORONA,,,,25.87305373,-100.02709389,2026-04,,101,pendiente_rescate,no,
2026-05,6366490,19038311999000024022008509M6,ALIMENTOS INTEGRONATURALES,ALIMENTOS INTEGRONATURALES,ALIMENTOS INTEGRONATURALES,311230,Elaboración de cereales para el desayuno,31 a 50 personas,31,67530,19,Nuevo León,038,Montemorelos,Montemorelos,UNIVERSIDAD DE MONTEMORELOS,INDIAS OCCIDENTALES,1300,colpac.com.mx,WWW.COLPAC.COM.MX,25.1937343,-99.84653672,2010-07,,101,pendiente_rescate,no,
2026-05,6373371,19038311422000033103008410S0,CITROFRUT PLANTA MONTEMORELOS,CITROFRUT,CITROFRUT,311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas",51 a 100 personas,51,67560,19,Nuevo León,038,Montemorelos,Montemorelos,SAN JAVIER,BARDA,100,citrofrut.com.mx,WWW.CITROFRUT.COM,25.18454937,-99.84700137,2014-12,,101,pendiente_rescate,no,
